mode,solve_seconds,lcos_per_t_steel,lcos_objective_basis,lcoh_per_kg,ely_mw,ely_cf,h2_store_mwh,avg_fac_price,ely_realised_price,flexibility_premium,annual_h2_kg,annual_steel_t
rldc_merit,202.7,471.31412959685457,471.31412959686725,5.19720596553795,593.0518811430035,0.8358634169822818,2379.0728113191867,71.37959499782305,67.06490277650082,4.3146922213222325,91200000.00000003,1600000.0
sa_dispatch,295.9,479.7294524237418,534.1188832181522,4.884672708194269,613.7227212790558,0.8077106397280744,2871.7131170713824,73.03544103687774,67.61950815905908,5.415932877818662,91200000.0,1600000.0
